prefix,reference,entity
site-of-special-scientific-interest,NY799587,466715
site-of-special-scientific-interest,SD717526,467047
site-of-special-scientific-interest,TM315859,470225
site-of-special-scientific-interest,SK203788,467609
site-of-special-scientific-interest,SE593437,467254
site-of-special-scientific-interest,TF361019,469744
site-of-special-scientific-interest,SW413361,469239
site-of-special-scientific-interest,SW413361,469239
site-of-special-scientific-interest,SW413361,469239
site-of-special-scientific-interest,SW413361,469239
site-of-special-scientific-interest,SW413361,469239
site-of-special-scientific-interest,SU577826,469042
site-of-special-scientific-interest,TM433927,470253
site-of-special-scientific-interest,TR152633,470576
site-of-special-scientific-interest,TR152633,470576
site-of-special-scientific-interest,TR152633,470576
site-of-special-scientific-interest,TR152633,470576
site-of-special-scientific-interest,TR152633,470576
site-of-special-scientific-interest,TR152633,470576
site-of-special-scientific-interest,TR152633,470576
site-of-special-scientific-interest,TR152633,470576
site-of-special-scientific-interest,TR152633,470576
site-of-special-scientific-interest,TR188642,470583
site-of-special-scientific-interest,TR188642,470583
site-of-special-scientific-interest,TR188642,470583
site-of-special-scientific-interest,TR188642,470583
site-of-special-scientific-interest,TG128183,469828
site-of-special-scientific-interest,SJ856775,467509
site-of-special-scientific-interest,TL004807,469883
site-of-special-scientific-interest,SP541250,468322
site-of-special-scientific-interest,SP541250,468322
site-of-special-scientific-interest,TL932357,470124
site-of-special-scientific-interest,TL932357,470124
site-of-special-scientific-interest,NY983041,466784
site-of-special-scientific-interest,NY983041,466784
site-of-special-scientific-interest,NY983041,466784
site-of-special-scientific-interest,SJ601129,467454
site-of-special-scientific-interest,SJ601129,467454
site-of-special-scientific-interest,SP989102,468442
site-of-special-scientific-interest,SE005824,467150
site-of-special-scientific-interest,TF382811,469749
site-of-special-scientific-interest,NY861019,466741
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY597109,466648
site-of-special-scientific-interest,NY696067,466674
site-of-special-scientific-interest,SK255044,467625
site-of-special-scientific-interest,SK255044,467625
